gene_name,TCGA-COAD(Asian)(11)
MUC16,0.545454545
ARAP2,0.454545455
TTN,0.454545455
UNC13C,0.454545455
NIN,0.454545455
TP53,0.454545455
ZFHX4,0.454545455
APC,0.454545455
NEXN,0.363636364
ASPM,0.363636364
MYH10,0.363636364
CCR5,0.363636364
CSMD1,0.363636364
SALL1,0.363636364
ATXN2,0.363636364
LRRC7,0.363636364
VPS13B,0.363636364
TRPS1,0.363636364
CSMD3,0.363636364
LTBP2,0.363636364
IQCA1,0.363636364
NLRP3,0.363636364
PCDH11X,0.363636364
TNR,0.363636364
FLG,0.363636364
SVEP1,0.363636364
NEB,0.363636364
COL18A1,0.363636364
DNAH14,0.363636364
MYH7,0.363636364
SLC15A1,0.363636364
DNAH17,0.363636364
KAZN,0.363636364
OBSCN,0.363636364
PGR,0.363636364
DMD,0.363636364
CNTNAP5,0.363636364
CFAP70,0.363636364
SYNE1,0.363636364
KIAA1109,0.363636364
ANK2,0.363636364
PIK3R6,0.363636364
EP300,0.363636364
SMAD4,0.363636364
ROBO2,0.363636364
RELN,0.363636364
SACS,0.363636364
TET2,0.363636364
HERC1,0.363636364
DNAH3,0.363636364
PTPRT,0.363636364
ABCA10,0.363636364
SEMA3C,0.363636364
PCDH15,0.363636364
SCN4A,0.363636364
GCNT2,0.363636364
FAT4,0.363636364
H2AFJ,0.363636364
FAT3,0.363636364
KRAS,0.363636364
PLG,0.363636364
EPHA4,0.272727273
CPAMD8,0.272727273
BPTF,0.272727273
FAM196B,0.272727273
ABCB4,0.272727273
DCDC1,0.272727273
RUNX1T1,0.272727273
ALCAM,0.272727273
CCDC168,0.272727273
FAM217A,0.272727273
ZNF525,0.272727273
F8,0.272727273
PGM5P2,0.272727273
FANCM,0.272727273
CKAP2,0.272727273
MED23,0.272727273
CCDC158,0.272727273
TRPM3,0.272727273
FOXI1,0.272727273
SOX11,0.272727273
FSCB,0.272727273
CCDC146,0.272727273
CCDC140,0.272727273
HTT,0.272727273
DZIP3,0.272727273
DCAF4L2,0.272727273
LEPR,0.272727273
TRNAU1AP,0.272727273
ATM,0.272727273
OR10J5,0.272727273
AMER3,0.272727273
PCLO,0.272727273
ATXN1L,0.272727273
LTN1,0.272727273
IL12RB2,0.272727273
LZTR1,0.272727273
NPAT,0.272727273
AP4E1,0.272727273
ADAM7,0.272727273
DNAH9,0.272727273
FBXO43,0.272727273
DCC,0.272727273
HIVEP2,0.272727273
ALMS1,0.272727273
SYNPO2L,0.272727273
CEP112,0.272727273
PCDHA10,0.272727273
ANKRD34C,0.272727273
UTRN,0.272727273
PKHD1,0.272727273
SUGP2,0.272727273
OR7D2,0.272727273
TET3,0.272727273
EFCAB6,0.272727273
RGAG1,0.272727273
PCDHA5,0.272727273
FUT9,0.272727273
FMN2,0.272727273
ERBB2IP,0.272727273
SREK1,0.272727273
CDH4,0.272727273
DDI1,0.272727273
KCNMA1,0.272727273
RASSF6,0.272727273
CASC5,0.272727273
TMPO,0.272727273
ZNF273,0.272727273
PCDHAC1,0.272727273
PCDHB5,0.272727273
GLI2,0.272727273
CALD1,0.272727273
CD84,0.272727273
ZRANB2,0.272727273
SAP130,0.272727273
PCDHGB5,0.272727273
COL6A1,0.272727273
ARID1A,0.272727273
IMPG2,0.272727273
HYDIN,0.272727273
DNAH10,0.272727273
SRGAP1,0.272727273
PIK3CB,0.272727273
C9orf84,0.272727273
KIAA1024,0.272727273
CHRM2,0.272727273
COL5A1,0.272727273
WBSCR17,0.272727273
UNC5B,0.272727273
USP40,0.272727273
GRIA4,0.272727273
SYNE2,0.272727273
MTDH,0.272727273
PPP2R2C,0.272727273
SYNPO2,0.272727273
TLL1,0.272727273
C6,0.272727273
TNS1,0.272727273
DOCK2,0.272727273
PRDM9,0.272727273
SLC39A9,0.272727273
ADAMTS18,0.272727273
SLC5A3,0.272727273
FAM179A,0.272727273
NFIL3,0.272727273
MYO3A,0.272727273
OR9Q1,0.272727273
HDX,0.272727273
GPC5,0.272727273
DNAH5,0.272727273
TRIO,0.272727273
TFEC,0.272727273
GPN1,0.272727273
KIF6,0.272727273
CSF1R,0.272727273
HEMGN,0.272727273
FAM110B,0.272727273
OTOGL,0.272727273
BBS2,0.272727273
DNAH8,0.272727273
CBLN2,0.272727273
FAM13A,0.272727273
MAP1A,0.272727273
SVIL,0.272727273
ADGRG4,0.272727273
ITGB6,0.272727273
ADRB3,0.272727273
TBC1D4,0.272727273
SLC15A2,0.272727273
TSHZ1,0.272727273
HRNR,0.272727273
CAPN14,0.272727273
LAMB1,0.272727273
KMT2E,0.272727273
KAT6A,0.272727273
PUS7,0.272727273
OFD1,0.272727273
ZNF491,0.272727273
ITGA6,0.272727273
HOXD13,0.272727273
ARHGAP5,0.272727273
SLC16A10,0.272727273
LRRIQ1,0.272727273
KPRP,0.272727273
CEP290,0.272727273
UROD,0.272727273
ZNF442,0.272727273
ADCY5,0.272727273
FAN1,0.272727273
PRKDC,0.272727273
ITGA4,0.272727273
ANXA6,0.272727273
HEATR5B,0.272727273
DNAH2,0.272727273
WNK2,0.272727273
INSM2,0.272727273
FSIP2,0.272727273
NEBL,0.272727273
