gene_name,TCGA-COAD(Black Or African American)(57)
APC,0.771929825
TP53,0.666666667
KRAS,0.50877193
TTN,0.49122807
PIK3CA,0.315789474
SYNE1,0.280701754
SOX11,0.263157895
DNAH5,0.245614035
MUC16,0.245614035
SOX9,0.228070175
FBXW7,0.228070175
CSMD3,0.228070175
OBSCN,0.228070175
ZFHX3,0.228070175
NEB,0.210526316
USH2A,0.210526316
LRP1B,0.192982456
FUT9,0.192982456
UNC80,0.192982456
MUC5B,0.192982456
WDFY4,0.175438596
CSMD1,0.175438596
PCDH11X,0.175438596
FAT3,0.175438596
PCLO,0.175438596
SACS,0.157894737
PCDHB6,0.157894737
MUC4,0.157894737
CACNA1H,0.157894737
PLXND1,0.157894737
SDK1,0.157894737
RYR2,0.157894737
SYNE2,0.157894737
TECTA,0.157894737
SSPO,0.157894737
KIAA1109,0.140350877
CDH23,0.140350877
KMT2C,0.140350877
SLC5A3,0.140350877
FAT4,0.140350877
FAT2,0.140350877
AMER1,0.140350877
CSMD2,0.140350877
DNAH17,0.140350877
KMT2B,0.140350877
CFAP46,0.140350877
FASN,0.140350877
TNXB,0.140350877
FNDC1,0.140350877
DCHS2,0.140350877
SLITRK1,0.140350877
DST,0.140350877
PKD1,0.140350877
PLXNA4,0.140350877
HECW1,0.140350877
CTNNB1,0.140350877
XKR4,0.140350877
SHANK1,0.140350877
DNAH9,0.122807018
CHD4,0.122807018
CNTNAP5,0.122807018
PCDHA3,0.122807018
TMEM132D,0.122807018
HMCN1,0.122807018
CD93,0.122807018
KCNH1,0.122807018
SETD1B,0.122807018
IGF2R,0.122807018
PLXNA2,0.122807018
TENM1,0.122807018
MDN1,0.122807018
KCNB2,0.122807018
ZFHX4,0.122807018
RIMS1,0.122807018
EYS,0.122807018
VPS13B,0.122807018
ATP10A,0.122807018
JRK,0.122807018
BCORL1,0.122807018
DYSF,0.122807018
NPAP1,0.122807018
MTOR,0.122807018
ZNF835,0.122807018
PEG3,0.122807018
POLR1A,0.122807018
PABPC5,0.122807018
MACF1,0.122807018
DAPK1,0.122807018
FRY,0.122807018
UNC79,0.122807018
XRN1,0.122807018
RAG1,0.122807018
MUC17,0.122807018
DMD,0.122807018
TNS1,0.122807018
PCDH15,0.122807018
HECTD4,0.122807018
RNF213,0.122807018
TET2,0.122807018
RYR1,0.122807018
