gene_name,TCGA-LIHC(Asian)(158)
TP53,0.348101266
TTN,0.278481013
CTNNB1,0.215189873
MUC16,0.196202532
MUC4,0.170886076
OBSCN,0.14556962
PCLO,0.132911392
AXIN1,0.120253165
CSMD3,0.107594937
RYR1,0.107594937
FLRT2,0.107594937
ALB,0.101265823
DOCK2,0.101265823
XIRP2,0.101265823
NPAP1,0.101265823
RYR2,0.094936709
FLG,0.094936709
ARID1A,0.088607595
APOB,0.088607595
DMD,0.088607595
EYS,0.088607595
RB1,0.088607595
CACNA1E,0.082278481
ABCA13,0.082278481
SOX11,0.082278481
HMCN1,0.082278481
CCDC168,0.075949367
MACF1,0.075949367
NBEA,0.075949367
DST,0.075949367
FAT3,0.075949367
DNAH17,0.075949367
PRUNE2,0.075949367
FREM2,0.075949367
HERC2,0.075949367
FUT9,0.069620253
DNAH8,0.069620253
DNAH7,0.069620253
NRXN1,0.069620253
SPTA1,0.069620253
LRP1B,0.069620253
KMT2D,0.069620253
COL11A1,0.069620253
DNAH5,0.063291139
PTPRQ,0.063291139
PRKDC,0.063291139
CACNA2D1,0.063291139
MUC5B,0.063291139
DYNC2H1,0.063291139
ARID2,0.063291139
SETD2,0.063291139
CSMD1,0.063291139
LRRK2,0.056962025
KPRP,0.056962025
NF1,0.056962025
RYR3,0.056962025
NLRP12,0.056962025
RGPD4,0.056962025
DNAH6,0.056962025
HERC2P3,0.056962025
XKR4,0.056962025
FRAS1,0.056962025
OPRM1,0.056962025
FCGBP,0.056962025
CDKN2A,0.056962025
TDRD5,0.056962025
SAGE1,0.056962025
WDR87,0.056962025
EPB41L3,0.056962025
KEAP1,0.056962025
MKI67,0.056962025
PCDHB6,0.056962025
FASN,0.056962025
COL16A1,0.056962025
HSPG2,0.056962025
CUBN,0.056962025
ADGRV1,0.056962025
PREX2,0.056962025
PLXNA4,0.050632911
TCHH,0.050632911
MAST4,0.050632911
PCDH15,0.050632911
AHNAK,0.050632911
SAMD9,0.050632911
COL12A1,0.050632911
FN1,0.050632911
MYH4,0.050632911
COL6A6,0.050632911
EPHA4,0.050632911
PLEC,0.050632911
ABCB5,0.050632911
SPEG,0.050632911
UNC80,0.050632911
CR1,0.050632911
VWDE,0.050632911
ZNF469,0.050632911
LRRIQ1,0.050632911
OTOGL,0.050632911
FAT2,0.050632911
PTPRB,0.050632911
ABCA12,0.050632911
USH2A,0.050632911
KIF26B,0.050632911
GRIA4,0.050632911
SDK1,0.050632911
DDI1,0.050632911
SSPO,0.050632911
WDFY4,0.050632911
NEB,0.050632911
CNGA3,0.050632911
UNC13C,0.050632911
DNAH9,0.050632911
KCNT1,0.050632911
ADAMTS19,0.050632911
HECTD4,0.050632911
MYCBP2,0.050632911
POM121L12,0.050632911
PIK3CA,0.050632911
PXDNL,0.050632911
AHNAK2,0.044303797
SYCP2,0.044303797
ADCY2,0.044303797
DNAH3,0.044303797
SYNE1,0.044303797
DCDC1,0.044303797
MUC2,0.044303797
ERBB4,0.044303797
SLC4A3,0.044303797
PCDHB16,0.044303797
PDE3A,0.044303797
FBXO42,0.044303797
RPS6KA3,0.044303797
DPCR1,0.044303797
ICE1,0.044303797
RGL2,0.044303797
C5orf24,0.044303797
SORCS3,0.044303797
SCN1A,0.044303797
PKHD1,0.044303797
MAN2A1,0.044303797
RASA1,0.044303797
DNAH2,0.044303797
EGFLAM,0.044303797
ENGASE,0.044303797
RAG1,0.044303797
KIAA1109,0.044303797
USP34,0.044303797
ADCY8,0.044303797
PKHD1L1,0.044303797
ATR,0.044303797
CADPS,0.044303797
COL22A1,0.044303797
TG,0.044303797
KMT2B,0.044303797
LOXHD1,0.044303797
ZNF638,0.044303797
LAMA1,0.044303797
MGAM,0.044303797
KIT,0.044303797
ANKRD30B,0.044303797
TRPS1,0.044303797
ZNF208,0.044303797
MUC17,0.044303797
PTPN13,0.044303797
BSN,0.044303797
CACNA1S,0.044303797
ZFHX4,0.044303797
STAB1,0.044303797
CTNNA2,0.044303797
BRINP2,0.044303797
TET2,0.044303797
FAT4,0.044303797
DOCK8,0.044303797
CCDC80,0.044303797
LRP1,0.044303797
ATM,0.044303797
CFAP46,0.044303797
POLQ,0.044303797
FMN2,0.044303797
KCNA1,0.044303797
USP48,0.037974684
MRC2,0.037974684
FOXG1,0.037974684
DCC,0.037974684
ZNF804A,0.037974684
MYT1L,0.037974684
COL3A1,0.037974684
PCDH11Y,0.037974684
ARF6,0.037974684
HECW2,0.037974684
ATAD2,0.037974684
FER1L6,0.037974684
CDH7,0.037974684
NBEAL1,0.037974684
NYNRIN,0.037974684
ZDBF2,0.037974684
ANO4,0.037974684
GPHN,0.037974684
MAP2,0.037974684
ZFYVE26,0.037974684
LAMB3,0.037974684
CAND1,0.037974684
FZR1,0.037974684
GREB1,0.037974684
MYO9B,0.037974684
JAK1,0.037974684
PDS5B,0.037974684
PTPRZ1,0.037974684
RBL2,0.037974684
HUWE1,0.037974684
LAMB1,0.037974684
REV3L,0.037974684
BRD7,0.037974684
MYH14,0.037974684
PEG10,0.037974684
BCL11A,0.037974684
LRRC7,0.037974684
MYO3A,0.037974684
SLITRK5,0.037974684
ZNF716,0.037974684
EGFR,0.037974684
PDE1C,0.037974684
MED12,0.037974684
ZNF525,0.037974684
RIMS1,0.037974684
KCNB2,0.037974684
BIRC6,0.037974684
TRPA1,0.037974684
RP1,0.037974684
MYH6,0.037974684
NOS1,0.037974684
SCN9A,0.037974684
HDAC9,0.037974684
FAM179A,0.037974684
HEATR5B,0.037974684
SDK2,0.037974684
BRINP3,0.037974684
NOS3,0.037974684
ADARB2,0.037974684
CNTNAP2,0.037974684
COL4A5,0.037974684
ZNF518A,0.037974684
ANKRD12,0.037974684
MYH7,0.037974684
ZFC3H1,0.037974684
FAT1,0.037974684
MGA,0.037974684
FBN1,0.037974684
CACNA1G,0.037974684
CP,0.037974684
RAP2B,0.037974684
ATP2B2,0.037974684
ROBO1,0.037974684
ATP8B2,0.037974684
ADGRG4,0.037974684
PREX1,0.037974684
ADGRL3,0.037974684
TENM4,0.037974684
DCHS1,0.037974684
CDH9,0.037974684
FBN2,0.037974684
EVC2,0.037974684
CACNA1I,0.037974684
