gene_name,TCGA-STAD(Asian)(89)
TTN,0.595505618
TP53,0.516853933
SYNE1,0.280898876
MUC16,0.280898876
LRP1B,0.258426966
SPTA1,0.235955056
OBSCN,0.224719101
CSMD1,0.213483146
ARID1A,0.213483146
DST,0.213483146
PCLO,0.213483146
PIK3CA,0.202247191
HMCN1,0.202247191
FLG,0.191011236
FAT4,0.191011236
RYR2,0.191011236
PCDH15,0.191011236
CSMD3,0.191011236
ZFHX4,0.179775281
CENPF,0.179775281
DMD,0.179775281
NEB,0.168539326
SYNE2,0.168539326
RYR3,0.168539326
NRXN1,0.168539326
NBEA,0.168539326
RIMS2,0.168539326
DNAH1,0.157303371
DNAH8,0.157303371
RYR1,0.157303371
ADGRB3,0.157303371
ADGRV1,0.157303371
KMT2C,0.157303371
CACNA1C,0.146067416
RNF213,0.146067416
APC,0.146067416
RP1,0.146067416
GLI3,0.146067416
IGSF10,0.146067416
DCLK1,0.146067416
FCGBP,0.146067416
ITPR3,0.146067416
XIRP2,0.146067416
KMT2D,0.146067416
CUBN,0.146067416
HECTD4,0.134831461
PTPRT,0.134831461
NAV3,0.134831461
MUC17,0.134831461
PKHD1L1,0.134831461
PLEC,0.134831461
REV3L,0.134831461
CDH23,0.134831461
GPR158,0.134831461
TG,0.134831461
USH2A,0.134831461
MYCBP2,0.134831461
ANKRD11,0.134831461
PCDH17,0.134831461
VPS13B,0.134831461
LRRC7,0.134831461
CNTNAP5,0.134831461
FBXL7,0.134831461
COL12A1,0.134831461
PCDHGA12,0.134831461
DNAH5,0.134831461
SSPO,0.123595506
CELSR3,0.123595506
NALCN,0.123595506
SPECC1,0.123595506
ASTN2,0.123595506
SLITRK5,0.123595506
TRPA1,0.123595506
DYNC1H1,0.123595506
PCDH7,0.123595506
HSPG2,0.123595506
SCN5A,0.123595506
TENM1,0.123595506
SPEN,0.123595506
HECW1,0.123595506
DNAH9,0.123595506
BRCA2,0.123595506
PREX2,0.123595506
STAB1,0.123595506
SACS,0.123595506
ZFHX3,0.123595506
NRXN3,0.123595506
AHNAK,0.123595506
DSCAML1,0.123595506
TENM3,0.123595506
RELN,0.123595506
AKAP9,0.112359551
LRP5,0.112359551
ERBB4,0.112359551
UTRN,0.112359551
RGS12,0.112359551
ADAMTSL3,0.112359551
ZNF536,0.112359551
ZNF626,0.112359551
WNK4,0.112359551
KALRN,0.112359551
FBN1,0.112359551
EPHA2,0.112359551
DCHS1,0.112359551
MDN1,0.112359551
XIST,0.112359551
PTPRD,0.112359551
PKD1L1,0.112359551
CSMD2,0.112359551
APOB,0.112359551
LAMA1,0.112359551
VPS13D,0.112359551
LRFN3,0.112359551
CACNA1D,0.112359551
RANBP2,0.112359551
DNAH11,0.112359551
SALL1,0.112359551
MACF1,0.112359551
CTNND2,0.112359551
PCDH10,0.112359551
ALPK2,0.112359551
ADAMTS12,0.112359551
C5orf42,0.112359551
ANK2,0.112359551
KIF21A,0.112359551
TRRAP,0.112359551
LRP12,0.112359551
DCDC1,0.101123596
KIF26B,0.101123596
TECTA,0.101123596
MUC5B,0.101123596
ATRX,0.101123596
MUC2,0.101123596
XYLT2,0.101123596
NPAP1,0.101123596
PCDHB6,0.101123596
DCAF12L2,0.101123596
ZAN,0.101123596
EP400,0.101123596
FAT1,0.101123596
PEG3,0.101123596
DNM2,0.101123596
DLC1,0.101123596
PTPRB,0.101123596
COL6A3,0.101123596
FLNB,0.101123596
PBRM1,0.101123596
LAMA4,0.101123596
SIPA1L2,0.101123596
TNXB,0.101123596
CDH1,0.101123596
DOCK3,0.101123596
UNC13C,0.101123596
ROBO1,0.101123596
ITPR2,0.101123596
ZNF208,0.101123596
UNC79,0.101123596
DNAH2,0.101123596
PCDHA11,0.101123596
CUL7,0.101123596
AHNAK2,0.101123596
NOTCH2,0.101123596
SCN11A,0.101123596
CMYA5,0.101123596
SZT2,0.101123596
NAV1,0.101123596
COL5A3,0.101123596
DIDO1,0.101123596
MYH9,0.101123596
PCDHA8,0.101123596
MYH3,0.101123596
CDH18,0.101123596
SAMD9L,0.101123596
DNAH17,0.101123596
MUC4,0.101123596
NOTCH3,0.101123596
FAT3,0.101123596
SHANK2,0.101123596
ANKRD50,0.101123596
FAM135B,0.101123596
KIAA1109,0.101123596
LAMA3,0.101123596
CACNA1B,0.101123596
CHD7,0.101123596
DNAH7,0.101123596
KLF3,0.101123596
SMAD4,0.101123596
NRD1,0.101123596
DAPK1,0.101123596
KCNT2,0.101123596
EPHA5,0.101123596
COL11A1,0.101123596
SOHLH2,0.101123596
TMEM132D,0.101123596
ASPM,0.101123596
DDX10,0.101123596
EDNRB,0.101123596
DCHS2,0.101123596
AKAP12,0.101123596
SPHKAP,0.101123596
SETBP1,0.101123596
ZBTB20,0.08988764
HRNR,0.08988764
KIF16B,0.08988764
CACNA2D3,0.08988764
SYTL2,0.08988764
TENM4,0.08988764
CDON,0.08988764
CUL9,0.08988764
PARP1,0.08988764
DOCK2,0.08988764
ATP10A,0.08988764
GRIA1,0.08988764
FRY,0.08988764
EPHA6,0.08988764
TIE1,0.08988764
DOCK4,0.08988764
CHD4,0.08988764
TNC,0.08988764
FLRT2,0.08988764
C2CD3,0.08988764
NFASC,0.08988764
PCDHA9,0.08988764
SBF1,0.08988764
SLIT3,0.08988764
TLN1,0.08988764
GRM5,0.08988764
KMT2A,0.08988764
HECTD1,0.08988764
JAKMIP1,0.08988764
PCDH20,0.08988764
PCDH9,0.08988764
MYH7,0.08988764
LYST,0.08988764
ACACB,0.08988764
MAGI2,0.08988764
PTPN14,0.08988764
ZNF516,0.08988764
OTUD4,0.08988764
SGK223,0.08988764
PCNXL2,0.08988764
PLXNA4,0.08988764
ARHGAP5,0.08988764
LARP4B,0.08988764
DSCAM,0.08988764
TRIO,0.08988764
VPS13A,0.08988764
RALGAPA1,0.08988764
CR2,0.08988764
DSP,0.08988764
DOPEY2,0.08988764
NOTCH1,0.08988764
CDH10,0.08988764
NOS1,0.08988764
HIVEP3,0.08988764
CELSR2,0.08988764
EPB41L3,0.08988764
CNTNAP2,0.08988764
PCDHAC1,0.08988764
LRRK2,0.08988764
ADCY5,0.08988764
MYO3A,0.08988764
SLC12A1,0.08988764
LRP2,0.08988764
CAMTA1,0.08988764
SULF1,0.08988764
FSIP2,0.08988764
AMY2B,0.08988764
PKD1,0.08988764
PARD3B,0.08988764
HIVEP2,0.08988764
MAP2,0.08988764
ABCA12,0.08988764
CCDC108,0.08988764
CHD2,0.08988764
EPHA4,0.08988764
SP100,0.08988764
XKR4,0.08988764
HDAC4,0.08988764
KAT2B,0.08988764
SCN1A,0.08988764
ATXN2L,0.08988764
SALL4,0.08988764
HYDIN,0.08988764
BCL11A,0.08988764
USP34,0.08988764
ZC3H18,0.08988764
ANK3,0.08988764
MXRA8,0.08988764
KIAA1429,0.08988764
NBN,0.08988764
CNGB3,0.08988764
SDK1,0.08988764
SETDB1,0.08988764
FER1L6,0.08988764
ZNF835,0.08988764
DCAF12L1,0.08988764
CNGB1,0.08988764
MYO15A,0.08988764
TNS2,0.08988764
KIAA1462,0.08988764
KMT2E,0.08988764
KAT6A,0.08988764
TPO,0.08988764
THBS1,0.08988764
GRM2,0.08988764
HERC2,0.08988764
PLXNB1,0.08988764
GNAS,0.078651685
MICAL2,0.078651685
MYH8,0.078651685
CAD,0.078651685
CSHL1,0.078651685
SLC45A4,0.078651685
FAM208A,0.078651685
COL4A5,0.078651685
ZNF462,0.078651685
PDS5B,0.078651685
NF1,0.078651685
ST6GAL2,0.078651685
NSD1,0.078651685
TRPC5,0.078651685
PDZD2,0.078651685
SHANK3,0.078651685
CREBBP,0.078651685
RNF6,0.078651685
RET,0.078651685
PLXNB2,0.078651685
ZNF236,0.078651685
PSD,0.078651685
ANKRD17,0.078651685
FREM2,0.078651685
ACVR2A,0.078651685
ZDHHC8,0.078651685
PC,0.078651685
TJP1,0.078651685
LAMC1,0.078651685
PLCG1,0.078651685
SPEG,0.078651685
NIPBL,0.078651685
GPR179,0.078651685
CDH4,0.078651685
LILRB1,0.078651685
TRIOBP,0.078651685
THOC2,0.078651685
MGA,0.078651685
ABCB5,0.078651685
SEL1L3,0.078651685
ZC3H13,0.078651685
RIMS1,0.078651685
TNS1,0.078651685
FN1,0.078651685
CRYBG3,0.078651685
NLGN4X,0.078651685
HSPA12A,0.078651685
ZNF831,0.078651685
JMJD1C,0.078651685
CELSR1,0.078651685
CDH9,0.078651685
CELF4,0.078651685
ALK,0.078651685
DNAH3,0.078651685
RLTPR,0.078651685
SCN9A,0.078651685
KSR2,0.078651685
TNRC6A,0.078651685
L3MBTL1,0.078651685
CSRNP3,0.078651685
