gene_name,TCGA-UCEC(Asian)(20)
PTEN,0.7
PIK3CA,0.65
TTN,0.6
ARID1A,0.55
MUC16,0.55
BAZ2B,0.55
KMT2D,0.5
FAT4,0.5
TG,0.5
DCHS2,0.45
ASH1L,0.45
APOB,0.45
FAT1,0.45
DNAH11,0.45
KMT2A,0.45
NEB,0.45
PIK3R1,0.45
JMJD1C,0.45
ABCA13,0.45
ZFHX4,0.45
ZBED9,0.45
MACF1,0.45
ATRX,0.45
CDH9,0.45
FBXW7,0.4
SYCP2,0.4
TRO,0.4
ANK2,0.4
NCKAP5,0.4
DST,0.4
CFAP43,0.4
CSMD3,0.4
SYNE1,0.4
LRP2,0.4
AKAP6,0.4
DMD,0.4
SACS,0.4
ATP11C,0.4
ABCB5,0.4
TAF1,0.4
LAMA2,0.4
NPAP1,0.4
MCF2,0.4
TNIK,0.4
UNC13C,0.4
DOCK7,0.4
NFASC,0.4
ANK3,0.4
LRP1B,0.4
KCND2,0.4
SI,0.4
ARID5B,0.4
PCDH11X,0.4
ZFHX3,0.4
ASPM,0.4
FBN2,0.4
ATM,0.4
DYNC1H1,0.4
CCDC168,0.4
HMCN1,0.35
RNF213,0.35
MKI67,0.35
PKP4,0.35
MGAM,0.35
PPP1R12B,0.35
RUNX1T1,0.35
COL6A3,0.35
TRIOBP,0.35
PAX3,0.35
LARS,0.35
ABCA12,0.35
MED13L,0.35
SSH1,0.35
TEX15,0.35
PCNXL2,0.35
ADGRV1,0.35
CTNNB1,0.35
KRAS,0.35
MAP1B,0.35
VPS13A,0.35
ZNF354C,0.35
FAT3,0.35
MAN2A1,0.35
ZNF605,0.35
FSTL5,0.35
AMY2B,0.35
DCHS1,0.35
USP9X,0.35
DPP6,0.35
ANKRD12,0.35
SPTBN1,0.35
XRN1,0.35
DNAH5,0.35
BCOR,0.35
ASXL3,0.35
NSD1,0.35
UTRN,0.35
TET2,0.35
SLC38A4,0.35
CENPF,0.35
MMS22L,0.35
CHD7,0.35
SCN7A,0.35
ADGRG4,0.35
XIRP2,0.35
AQR,0.35
PCLO,0.35
MCM3AP,0.35
ADGB,0.35
ZNF585B,0.35
CMYA5,0.35
MUC5B,0.35
DNAH1,0.35
CNTNAP2,0.35
GOLGB1,0.35
CACNA1D,0.35
CHD9,0.35
ITGA4,0.35
CEP295,0.35
CSMD1,0.35
ZNF91,0.35
HUWE1,0.35
BRCA2,0.35
FAM135B,0.35
THOC1,0.35
RANBP2,0.35
CCDC80,0.35
AAK1,0.35
MYT1L,0.35
AFF2,0.35
ARHGAP35,0.35
RYR2,0.35
RGPD3,0.35
TTC17,0.35
FAM135A,0.35
RB1,0.35
ABCA8,0.35
TENM1,0.35
KMT2B,0.35
ZGRF1,0.35
ARHGAP21,0.35
VPS13B,0.35
PCDHA9,0.35
NBEA,0.35
AKAP9,0.35
CSMD2,0.35
CTNND2,0.35
USP26,0.35
IQGAP2,0.35
PCDH15,0.35
TLL1,0.35
SYNE2,0.35
KIF26B,0.35
DYSF,0.35
MYOM1,0.35
JAK1,0.35
WDFY3,0.35
ADAMTS3,0.3
MYLK,0.3
DDX24,0.3
MYEF2,0.3
BTBD11,0.3
KNTC1,0.3
DIP2A,0.3
ABCC2,0.3
SPATA31C1,0.3
SRCAP,0.3
SEMA6D,0.3
KIAA2022,0.3
ANKFN1,0.3
MYO3B,0.3
ZNF268,0.3
MYO18B,0.3
DOCK2,0.3
RIMS1,0.3
CGN,0.3
CDH10,0.3
CDH12,0.3
POTEH,0.3
KIAA1551,0.3
FAM208A,0.3
FBN1,0.3
PRELP,0.3
CEP162,0.3
LRRC41,0.3
NFAT5,0.3
CNTNAP5,0.3
ANKRD17,0.3
MSN,0.3
HEPH,0.3
GABRA4,0.3
SIK3,0.3
RABGAP1,0.3
KPNA3,0.3
EXOC4,0.3
QSER1,0.3
CLASP1,0.3
REPS1,0.3
DNMT3B,0.3
USH2A,0.3
RAB3GAP2,0.3
SRRM2,0.3
SUPT16H,0.3
RP11-707M1.1,0.3
GIT2,0.3
MYO10,0.3
MRC1,0.3
HSP90AB1,0.3
GRIA4,0.3
MASP1,0.3
DOCK5,0.3
ZNF765,0.3
ZNF551,0.3
PHTF1,0.3
FANCI,0.3
LTBP1,0.3
BIRC6,0.3
MMP3,0.3
CPE,0.3
PLCL1,0.3
CUBN,0.3
ATL2,0.3
OSBPL6,0.3
ABCC12,0.3
PRTG,0.3
USP25,0.3
