gene_name,TCGA-UCEC(Black Or African American)(106)
TP53,0.490566038
PTEN,0.424528302
PIK3CA,0.377358491
TTN,0.377358491
ARID1A,0.301886792
FBXW7,0.29245283
RYR2,0.264150943
PIK3R1,0.254716981
CSMD3,0.245283019
KMT2D,0.245283019
HUWE1,0.226415094
KMT2B,0.226415094
ZFHX4,0.226415094
MACF1,0.226415094
OBSCN,0.216981132
CTCF,0.216981132
ANK3,0.20754717
SYNE1,0.20754717
CHD4,0.20754717
DST,0.20754717
MUC16,0.20754717
BCL11B,0.20754717
ACVR2A,0.20754717
HMCN1,0.20754717
DMD,0.198113208
USH2A,0.198113208
TENM1,0.198113208
PCLO,0.188679245
ARHGAP35,0.188679245
TRPS1,0.188679245
SPTA1,0.188679245
NEB,0.188679245
LRP1B,0.188679245
FAT1,0.188679245
CTNNB1,0.188679245
FAT3,0.188679245
PCDH19,0.188679245
FUT9,0.188679245
FAT4,0.188679245
FSIP2,0.179245283
ZNF292,0.179245283
KRAS,0.179245283
CIT,0.179245283
FRAS1,0.169811321
DNAH7,0.169811321
HERC2,0.169811321
AKAP9,0.169811321
RNF213,0.169811321
RIMS1,0.169811321
NIPBL,0.169811321
FAT2,0.169811321
ZFHX3,0.169811321
ST8SIA4,0.169811321
SOX11,0.169811321
PCDHA9,0.169811321
NFASC,0.169811321
FLG,0.169811321
BCOR,0.169811321
AHNAK,0.169811321
SACS,0.160377358
SYNE2,0.160377358
ASH1L,0.160377358
AHNAK2,0.160377358
CCDC168,0.160377358
PCDH9,0.160377358
WDFY4,0.160377358
EPHA3,0.160377358
EYS,0.160377358
LRP2,0.160377358
BSN,0.160377358
ZXDB,0.160377358
DNHD1,0.160377358
PRKDC,0.160377358
ZBTB18,0.160377358
LYST,0.160377358
MUC5B,0.160377358
CSMD1,0.160377358
DNAH8,0.160377358
ANK2,0.150943396
CSMD2,0.150943396
RYR3,0.150943396
DMXL2,0.150943396
MYO7A,0.150943396
SPOP,0.150943396
DNAH3,0.150943396
MED12,0.150943396
ATM,0.150943396
NOL4,0.150943396
DYRK1A,0.150943396
HERC1,0.150943396
ST18,0.150943396
SHROOM2,0.150943396
CACNA1C,0.150943396
TNRC6B,0.150943396
KMT2C,0.150943396
APOB,0.150943396
NRXN1,0.150943396
CFAP47,0.150943396
WIPF1,0.150943396
LRRK2,0.150943396
SAMD9L,0.150943396
RELN,0.150943396
PLXNB2,0.150943396
ABCA13,0.150943396
PRUNE2,0.150943396
DNAH5,0.141509434
MECP2,0.141509434
DSCAM,0.141509434
USP6,0.141509434
TSHZ3,0.141509434
PCDH11X,0.141509434
KIAA2022,0.141509434
NHS,0.141509434
APC,0.141509434
DIP2A,0.141509434
DNAH14,0.141509434
LAMA1,0.141509434
SPEG,0.141509434
TENM3,0.141509434
PLXNA2,0.141509434
DOCK10,0.141509434
XRN1,0.141509434
IQSEC2,0.141509434
ADAMTSL4,0.141509434
DDX3X,0.141509434
CACNA1E,0.141509434
MAP2,0.141509434
TET2,0.141509434
KANSL1,0.141509434
PPP2R1A,0.141509434
HCN1,0.141509434
TG,0.141509434
PCDH15,0.141509434
NAV3,0.141509434
ATAD2,0.141509434
NPAP1,0.141509434
LAMA2,0.141509434
REV3L,0.141509434
KCNA6,0.141509434
NRXN3,0.141509434
KMT2A,0.141509434
LRP1,0.141509434
DNAH11,0.141509434
GRIA4,0.141509434
MUC17,0.141509434
LRRC4,0.141509434
DOCK1,0.141509434
PCDHB6,0.141509434
SORCS1,0.141509434
DICER1,0.141509434
NFE2L2,0.132075472
BIRC6,0.132075472
RB1CC1,0.132075472
FBN2,0.132075472
CEP290,0.132075472
PDS5B,0.132075472
AHCTF1,0.132075472
DNAH10,0.132075472
SPTBN1,0.132075472
PPP1R3A,0.132075472
DNAH6,0.132075472
NBEAL1,0.132075472
BRCA2,0.132075472
THSD7B,0.132075472
SSPO,0.132075472
DOCK4,0.132075472
SCN3A,0.132075472
ZNF469,0.132075472
LIN9,0.132075472
PDE4DIP,0.132075472
AFF2,0.132075472
FMR1,0.132075472
ZMYM4,0.132075472
SZT2,0.132075472
ARID5B,0.132075472
ATP7A,0.132075472
ATRX,0.132075472
PHKA1,0.132075472
COL11A1,0.132075472
SKIDA1,0.132075472
RIMS2,0.132075472
USP9X,0.132075472
SORL1,0.132075472
BNC2,0.132075472
TPR,0.132075472
ASPM,0.132075472
ZBTB41,0.132075472
PLEC,0.132075472
TRRAP,0.132075472
PKHD1L1,0.132075472
ABCA12,0.132075472
LATS2,0.132075472
MUC4,0.132075472
NID2,0.132075472
PKHD1,0.132075472
ONECUT2,0.132075472
DTNA,0.132075472
DNAH1,0.132075472
QKI,0.132075472
CASZ1,0.132075472
SETD2,0.132075472
FBN1,0.132075472
ARPP21,0.132075472
ARID1B,0.132075472
MDN1,0.132075472
LMAN1,0.132075472
WDR87,0.132075472
KIAA1109,0.132075472
IGHG1,0.132075472
MEF2C,0.132075472
RYR1,0.132075472
AKAP6,0.132075472
RNF43,0.132075472
NF1,0.122641509
IGF1R,0.122641509
EP300,0.122641509
INPPL1,0.122641509
IGSF9B,0.122641509
SEC16A,0.122641509
KHDRBS2,0.122641509
TAF1L,0.122641509
MYO3A,0.122641509
MXRA5,0.122641509
NCAM1,0.122641509
EDA,0.122641509
SMC1A,0.122641509
CDH23,0.122641509
EBF3,0.122641509
MAF,0.122641509
JAKMIP2,0.122641509
CDH11,0.122641509
DNAH2,0.122641509
SLC17A6,0.122641509
KCNMA1,0.122641509
KDM6B,0.122641509
NRK,0.122641509
DNAH9,0.122641509
DTX4,0.122641509
ATXN1,0.122641509
BICC1,0.122641509
RAI1,0.122641509
TAF1,0.122641509
MYO15A,0.122641509
ADGRV1,0.122641509
CEP350,0.122641509
ZC3H12B,0.122641509
TRIM51,0.122641509
ITPR2,0.122641509
TRIP12,0.122641509
FMN1,0.122641509
KALRN,0.122641509
FBN3,0.122641509
RANBP2,0.122641509
RIMBP2,0.122641509
SDK1,0.122641509
ZEB2,0.122641509
ZMYM2,0.122641509
KIF15,0.122641509
HECW1,0.122641509
ZNF536,0.122641509
ATP2B2,0.122641509
CHL1,0.122641509
MYO16,0.122641509
UNC80,0.122641509
ERBB4,0.122641509
FN1,0.122641509
CCDC108,0.122641509
HDAC4,0.122641509
CTNNA2,0.122641509
TMEM132C,0.122641509
FREM1,0.122641509
PLEKHH2,0.122641509
YTHDC1,0.122641509
HIVEP2,0.122641509
NOVA1,0.122641509
CENPF,0.122641509
ANKRD12,0.122641509
MIA3,0.122641509
VPS13B,0.122641509
ASXL3,0.122641509
MMP16,0.122641509
ZFC3H1,0.122641509
SI,0.122641509
CEP170,0.122641509
ALPK2,0.122641509
MED13L,0.122641509
NBAS,0.122641509
FOXN3,0.122641509
EPHB1,0.122641509
ADGRG4,0.122641509
MKI67,0.122641509
ERICH3,0.122641509
ARMC8,0.113207547
COL5A1,0.113207547
TBC1D8B,0.113207547
FZD5,0.113207547
EPHA4,0.113207547
CUL3,0.113207547
AKAP11,0.113207547
MKLN1,0.113207547
EXOC4,0.113207547
ITPR1,0.113207547
ELAVL2,0.113207547
IRS4,0.113207547
CHD3,0.113207547
SLC6A6,0.113207547
MAP1B,0.113207547
SATB1,0.113207547
RBMS3,0.113207547
PTPRD,0.113207547
PLXNB1,0.113207547
FAM186A,0.113207547
DCX,0.113207547
NBEA,0.113207547
NRP2,0.113207547
VPS13A,0.113207547
WNK1,0.113207547
MYO7B,0.113207547
PLXNB3,0.113207547
MSH6,0.113207547
CPEB4,0.113207547
EPB41L1,0.113207547
NALCN,0.113207547
TET3,0.113207547
CD93,0.113207547
G3BP1,0.113207547
CDH1,0.113207547
KLF12,0.113207547
GSE1,0.113207547
SPEN,0.113207547
DIAPH1,0.113207547
PCDHGA8,0.113207547
KCNJ3,0.113207547
CNTNAP4,0.113207547
ETS1,0.113207547
PCDHB7,0.113207547
SCN1A,0.113207547
XIRP2,0.113207547
DOCK3,0.113207547
MCF2,0.113207547
ERC2,0.113207547
PIEZO2,0.113207547
LOXHD1,0.113207547
EPG5,0.113207547
ZBTB33,0.113207547
TBL1XR1,0.113207547
HECTD4,0.113207547
DCUN1D1,0.113207547
ROCK1,0.113207547
TP63,0.113207547
IGF2BP1,0.113207547
PPP1R12A,0.113207547
RAP2B,0.113207547
PTPRQ,0.113207547
MED13,0.113207547
PPFIA2,0.113207547
RGS12,0.113207547
DNAH17,0.113207547
OCRL,0.113207547
FRYL,0.113207547
MYO15B,0.113207547
PPARGC1A,0.113207547
KSR2,0.113207547
