Gene,p value Black,mutation rates
ADAMTS19,0.014985986616992,1
AHNAK2,0.014985986616992,1
ANAPC10,1.14860579469861e-05,1
ASPH,1.14860579469861e-05,1
BCAT1,0.0023568017063323,1
C9orf171,1.14860579469861e-05,1
CAPZA2,1.14860579469861e-05,1
CDKL5,0.0023568017063323,1
CNBD1,1.14860579469861e-05,1
CRACR2A,0.0023568017063323,1
CTSD,1.14860579469861e-05,1
EDA,0.0023568017063323,1
FER1L6,1.14860579469861e-05,1
FRY,1.14860579469861e-05,1
G6PC3,1.14860579469861e-05,1
GLRA1,0.0023568017063323,1
HIST1H1E,1.14860579469861e-05,1
IGF2R,1.14860579469861e-05,1
KRTAP4-11,0.0023568017063323,1
LRRN3,1.14860579469861e-05,1
MSMO1,1.14860579469861e-05,1
MUC13,1.14860579469861e-05,1
NAP1L1,1.14860579469861e-05,1
OTP,1.14860579469861e-05,1
POLR1C,0.0023568017063323,1
SH3RF3,1.14860579469861e-05,1
TMEM177,1.14860579469861e-05,1
ZNF813,1.14860579469861e-05,1
