Gene,p value Black,mutation rates
ANO4,0.0013067179022002,0.173913043
CR1,0.0013067179022002,0.173913043
PTPN21,0.0025444101323098,0.173913043
ADAM29,0.0279986430441513,0.130434783
ATP8A2,0.0424620829942933,0.130434783
BCAS3,0.0424620829942933,0.130434783
CASC1,0.0092897465063802,0.130434783
CPLX3,7.08619525234701e-08,0.130434783
CS,7.08619525234701e-08,0.130434783
IRX5,0.0016700278913775,0.130434783
ITGA2B,0.0424620829942933,0.130434783
KIAA1324,0.017021037778676,0.130434783
NLRP6,7.89921064785676e-05,0.130434783
NRP1,0.0279986430441513,0.130434783
NSMCE1,7.89921064785676e-05,0.130434783
PI4KB,0.0424620829942933,0.130434783
POLR3H,0.0092897465063802,0.130434783
SLC1A2,0.0004660911527024,0.130434783
SLC35F3,7.89921064785676e-05,0.130434783
SMU1,7.89921064785676e-05,0.130434783
SPECC1L,0.0092897465063802,0.130434783
TBL1X,5.61592164577783e-06,0.130434783
TSHZ3,0.0424620829942933,0.130434783
UBN2,0.017021037778676,0.130434783
ZMYM1,0.017021037778676,0.130434783
AADACL3,0.0120450111572249,0.086956522
ANXA7,0.0332097174045583,0.086956522
ASPHD1,0.0120450111572249,0.086956522
AVPR1A,8.97464767341173e-05,0.086956522
BIRC7,0.0120450111572249,0.086956522
BRI3BP,0.0332097174045583,0.086956522
CCDC85A,0.0332097174045583,0.086956522
CDKL1,0.0332097174045583,0.086956522
CHRNA5,0.0120450111572249,0.086956522
CHST8,0.0332097174045583,0.086956522
CMKLR1,0.0022972104115412,0.086956522
COL4A6,0.0120450111572249,0.086956522
CPNE7,0.0022972104115412,0.086956522
CTSG,0.0332097174045583,0.086956522
CYB5A,0.0022972104115412,0.086956522
CYTH4,0.0332097174045583,0.086956522
FBP1,0.0022972104115412,0.086956522
FFAR3,0.0120450111572249,0.086956522
FGFBP2,0.0022972104115412,0.086956522
GFOD2,8.97464767341173e-05,0.086956522
GGA3,0.0332097174045583,0.086956522
GLYATL2,0.0022972104115412,0.086956522
GNAO1,0.0022972104115412,0.086956522
GOT1L1,8.97464767341173e-05,0.086956522
GRIPAP1,0.0120450111572249,0.086956522
GSS,0.0120450111572249,0.086956522
HIST1H3H,0.0332097174045583,0.086956522
HPN,0.0332097174045583,0.086956522
IFNLR1,0.0022972104115412,0.086956522
ITPKA,0.0120450111572249,0.086956522
KCNK15,0.0120450111572249,0.086956522
KLHL38,0.0022972104115412,0.086956522
KRT36,0.0332097174045583,0.086956522
MAGOH,0.0022972104115412,0.086956522
MANBA,0.0120450111572249,0.086956522
MGAT3,0.0022972104115412,0.086956522
MPZ,0.0120450111572249,0.086956522
MSANTD2,8.97464767341173e-05,0.086956522
MYCL,0.0120450111572249,0.086956522
MYEF2,0.0332097174045583,0.086956522
NAALAD2,0.0332097174045583,0.086956522
OCIAD1,0.0120450111572249,0.086956522
OR3A2,0.0022972104115412,0.086956522
OR5D18,0.0332097174045583,0.086956522
PAX7,0.0332097174045583,0.086956522
PHLDA1,0.0120450111572249,0.086956522
PSMC3,0.0332097174045583,0.086956522
RBFOX1,0.0332097174045583,0.086956522
RIPPLY3,0.0120450111572249,0.086956522
RPLP0,8.97464767341173e-05,0.086956522
SCARA3,0.0332097174045583,0.086956522
SLC26A11,0.0120450111572249,0.086956522
SNX2,0.0022972104115412,0.086956522
ST6GAL1,0.0332097174045583,0.086956522
STIP1,0.0120450111572249,0.086956522
SULT1C4,0.0332097174045583,0.086956522
SYT16,0.0332097174045583,0.086956522
TBC1D17,0.0332097174045583,0.086956522
TMCO4,0.0332097174045583,0.086956522
TMEM151A,0.0332097174045583,0.086956522
TMEM8A,0.0332097174045583,0.086956522
TNFSF10,0.0120450111572249,0.086956522
TRAV13-1,0.0022972104115412,0.086956522
TRAV36DV7,0.0120450111572249,0.086956522
TRIM11,0.0332097174045583,0.086956522
TSHZ1,0.0332097174045583,0.086956522
TTC21A,0.0332097174045583,0.086956522
XXYLT1,0.0120450111572249,0.086956522
ZC3H15,8.97464767341173e-05,0.086956522
ZDHHC20,0.0022972104115412,0.086956522
ZFYVE1,0.0022972104115412,0.086956522
ZNF697,0.0022972104115412,0.086956522
ZNF765,0.0120450111572249,0.086956522
ARID1A,0.0228181867810991,0.043478261
