Gene,p value Asian,mutation rates
TP53,0.0020686768505332,0.517241379
ARID1A,0.0295087053223191,0.103448276
EYS,0.0053207910476754,0.103448276
ASH1L,0.0438258523062275,0.086206897
CENPE,0.0258224020857598,0.086206897
GOLGB1,0.0023221127638507,0.086206897
ITGAM,2.48522734763715e-08,0.086206897
PREX2,0.0094035646118203,0.086206897
PYHIN1,3.15351864678409e-07,0.086206897
CDCP1,0.0001488307295404,0.068965517
FOXO4,3.96439268150783e-06,0.068965517
HERC6,0.0013215594739007,0.068965517
LAMB4,0.009963058556723,0.068965517
MYH4,0.0013215594739007,0.068965517
POTEA,0.0001488307295404,0.068965517
PRPF8,0.0005003132102279,0.068965517
ROBO1,0.009963058556723,0.068965517
SMARCC2,3.96439268150783e-06,0.068965517
YLPM1,0.0351745510016644,0.068965517
ABCA5,0.0254656855273323,0.051724138
ANO6,0.0254656855273323,0.051724138
CDK11A,0.0254656855273323,0.051724138
CFAP61,0.0425523309169088,0.051724138
COL1A1,0.0254656855273323,0.051724138
COPS3,0.0020019541796202,0.051724138
CPXM1,0.0059273353310034,0.051724138
CYP11B2,0.0059273353310034,0.051724138
DBN1,0.0059273353310034,0.051724138
DPYSL5,0.0059273353310034,0.051724138
EFEMP1,0.0134362690202646,0.051724138
FAM129C,0.0059273353310034,0.051724138
GTDC1,0.0020019541796202,0.051724138
HAND2,0.0134362690202646,0.051724138
ITSN2,0.0254656855273323,0.051724138
MAP10,0.0254656855273323,0.051724138
MARK1,0.0425523309169088,0.051724138
MCM3,4.6595604320758e-05,0.051724138
MROH5,0.0059273353310034,0.051724138
MRPL2,0.0059273353310034,0.051724138
MRPL38,0.0004420670284376,0.051724138
MSL2,4.6595604320758e-05,0.051724138
NARF,0.0004420670284376,0.051724138
NBPF11,0.0254656855273323,0.051724138
NOP58,0.0020019541796202,0.051724138
OR10J3,0.0004420670284376,0.051724138
PHC3,0.0134362690202646,0.051724138
SCAMP3,4.6595604320758e-05,0.051724138
SCP2,0.0425523309169088,0.051724138
SNTA1,1.12852858201017e-06,0.051724138
SSH2,0.0425523309169088,0.051724138
SSX2IP,0.0134362690202646,0.051724138
TRIM42,0.0059273353310034,0.051724138
UACA,0.0425523309169088,0.051724138
VWF,0.0254656855273323,0.051724138
ZC3H11A,0.0425523309169088,0.051724138
ZNF334,0.0059273353310034,0.051724138
ZNF776,0.0020019541796202,0.051724138
AASS,0.027176749778629,0.034482759
ABCA17P,0.0065693216385066,0.034482759
AC126323.1,0.027176749778629,0.034482759
ACTR1A,0.027176749778629,0.034482759
ADAMTS18,0.027176749778629,0.034482759
AGAP9,0.027176749778629,0.034482759
AKAP1,0.027176749778629,0.034482759
ATG4D,0.0065693216385066,0.034482759
C10orf53,0.027176749778629,0.034482759
C16orf82,0.027176749778629,0.034482759
C2orf81,0.0065693216385066,0.034482759
CALML5,0.0004104195653529,0.034482759
CAPRIN1,0.0065693216385066,0.034482759
CCDC89,0.0065693216385066,0.034482759
CCM2,0.027176749778629,0.034482759
CCNT1,0.027176749778629,0.034482759
CD177,0.027176749778629,0.034482759
CD200R1L,0.0065693216385066,0.034482759
CDC123,0.027176749778629,0.034482759
CDV3,0.027176749778629,0.034482759
CEACAM6,0.0004104195653529,0.034482759
CHCHD3,0.027176749778629,0.034482759
CLIC5,0.0065693216385066,0.034482759
COMMD4,0.027176749778629,0.034482759
CSF3,0.0004104195653529,0.034482759
CYP1B1-AS1,0.0065693216385066,0.034482759
DOK1,0.0065693216385066,0.034482759
DPH1,0.0004104195653529,0.034482759
ELL,0.027176749778629,0.034482759
FAM20A,0.027176749778629,0.034482759
FAM20C,0.0004104195653529,0.034482759
FAM96A,0.027176749778629,0.034482759
FERMT2,0.027176749778629,0.034482759
FXN,0.0004104195653529,0.034482759
GGA1,0.027176749778629,0.034482759
GJD2,0.0065693216385066,0.034482759
GLRX2,0.027176749778629,0.034482759
GNB2,0.0065693216385066,0.034482759
GPD1,0.027176749778629,0.034482759
GS1-309P15.2,0.0004104195653529,0.034482759
HAL,0.027176749778629,0.034482759
HOXB13,0.027176749778629,0.034482759
IFT88,0.027176749778629,0.034482759
KIF25,0.027176749778629,0.034482759
KIF9,0.0065693216385066,0.034482759
KLF12,0.0065693216385066,0.034482759
KRT78,0.0004104195653529,0.034482759
LARP6,0.027176749778629,0.034482759
LHX2,0.0065693216385066,0.034482759
LIM2,0.0065693216385066,0.034482759
LINC00299,0.027176749778629,0.034482759
LRIF1,0.027176749778629,0.034482759
LRIG1,0.0065693216385066,0.034482759
MEIS3,0.0065693216385066,0.034482759
MFSD3,0.027176749778629,0.034482759
MRAP2,0.0004104195653529,0.034482759
MYADM,0.027176749778629,0.034482759
NDUFS3,0.0065693216385066,0.034482759
NFIX,0.027176749778629,0.034482759
NSF,0.0065693216385066,0.034482759
NUSAP1,0.0004104195653529,0.034482759
OR1S2,0.0065693216385066,0.034482759
OR4Q3,0.027176749778629,0.034482759
OR52K2,0.027176749778629,0.034482759
PAGE5,0.0065693216385066,0.034482759
PAPD5,0.0065693216385066,0.034482759
PDCL3,0.027176749778629,0.034482759
PENK,0.0065693216385066,0.034482759
PGLYRP2,0.0004104195653529,0.034482759
POFUT1,0.0065693216385066,0.034482759
PRG2,0.0004104195653529,0.034482759
RIBC1,0.0065693216385066,0.034482759
RNF19B,0.0065693216385066,0.034482759
RP11-356C4.3,0.0004104195653529,0.034482759
SGSM3,0.027176749778629,0.034482759
SIGLEC7,0.027176749778629,0.034482759
SLC2A14,0.027176749778629,0.034482759
