Gene,p value Black,mutation rates
CDK12,0.0282959938572616,0.068965517
ABCA1,0.0285066529846437,0.051724138
ADGRV1,0.0102935751888138,0.051724138
DCHS1,0.0022548504892952,0.051724138
ITPR1,0.0022548504892952,0.051724138
SWT1,0.0022548504892952,0.051724138
TET1,0.0022548504892952,0.051724138
ALKBH4,0.047346467339524,0.034482759
ARFGEF3,0.047346467339524,0.034482759
ATP8B4,0.047346467339524,0.034482759
CDH5,0.047346467339524,0.034482759
CDHR1,0.0070851382011028,0.034482759
CEP76,0.047346467339524,0.034482759
CHST11,0.047346467339524,0.034482759
CPXM1,0.047346467339524,0.034482759
CSAG3,0.0070851382011028,0.034482759
DAAM1,0.047346467339524,0.034482759
DDX50,0.047346467339524,0.034482759
DIAPH3,0.0070851382011028,0.034482759
DSG1,0.0070851382011028,0.034482759
ETNPPL,0.0070851382011028,0.034482759
FAM86EP,0.047346467339524,0.034482759
FOXB2,0.047346467339524,0.034482759
GLTSCR1L,0.047346467339524,0.034482759
GRB7,0.0070851382011028,0.034482759
HOGA1,0.047346467339524,0.034482759
HSD17B4,0.047346467339524,0.034482759
IFNA13,0.0070851382011028,0.034482759
IRS4,0.047346467339524,0.034482759
KCNH3,0.0070851382011028,0.034482759
KCNQ5,0.047346467339524,0.034482759
KCNT1,0.0070851382011028,0.034482759
KERA,0.0070851382011028,0.034482759
KIF19,0.0070851382011028,0.034482759
KPNA6,0.0070851382011028,0.034482759
LAIR1,0.0070851382011028,0.034482759
LPAR3,0.047346467339524,0.034482759
MAZ,0.0070851382011028,0.034482759
MED24,0.047346467339524,0.034482759
MIOS,0.047346467339524,0.034482759
MYBPHL,0.0070851382011028,0.034482759
MYOM2,0.047346467339524,0.034482759
NLRP12,0.047346467339524,0.034482759
NRXN1,0.0070851382011028,0.034482759
OR5F1,0.0070851382011028,0.034482759
P4HA1,0.047346467339524,0.034482759
PLEKHA6,0.047346467339524,0.034482759
PRSS48,0.047346467339524,0.034482759
RPH3A,0.0070851382011028,0.034482759
SHROOM3,0.047346467339524,0.034482759
SND1,0.047346467339524,0.034482759
SRPX,0.0070851382011028,0.034482759
SUSD6,0.0070851382011028,0.034482759
SYCP2L,0.0070851382011028,0.034482759
TMEM102,0.0070851382011028,0.034482759
TMEM132A,0.047346467339524,0.034482759
USP26,0.0070851382011028,0.034482759
VAV1,0.0070851382011028,0.034482759
ZNF37A,0.047346467339524,0.034482759
