Gene,p value Asian,mutation rates
TTN,0.0252253881867595,0.318181818
STAG2,0.0379037259675974,0.25
TP53,0.0007432979061513,0.227272727
HRAS,0.0033335101263974,0.159090909
ARID1A,0.0104834979681634,0.090909091
EPHA7,0.0376720473037278,0.090909091
FAM189B,0.0016274036114161,0.090909091
ZBTB32,0.0111177793069994,0.090909091
ALB,0.0487541381181463,0.068181818
BAIAP3,0.0487541381181463,0.068181818
CLK2P1,0.0016350511901397,0.068181818
EIF3M,0.0487541381181463,0.068181818
FKBP6,0.0079131609645287,0.068181818
GSG2,0.0487541381181463,0.068181818
HP1BP3,0.0079131609645287,0.068181818
HTR1A,0.0228042084088637,0.068181818
OR52B4,0.0079131609645287,0.068181818
PXK,0.0228042084088637,0.068181818
RIOK3,0.0228042084088637,0.068181818
SEMA6C,0.0487541381181463,0.068181818
SPATA31A3,0.0487541381181463,0.068181818
STK10,0.0228042084088637,0.068181818
TRAPPC9,0.0228042084088637,0.068181818
TRIM56,0.0228042084088637,0.068181818
UBASH3B,0.0487541381181463,0.068181818
ACAP1,0.0402144302111678,0.045454545
ASAH1,0.0402144302111678,0.045454545
C15orf41,0.0402144302111678,0.045454545
CASP7,0.0402144302111678,0.045454545
CCNK,0.0056178917795781,0.045454545
CRBN,0.0402144302111678,0.045454545
DYX1C1,0.0402144302111678,0.045454545
EVA1C,0.0402144302111678,0.045454545
FAM177B,0.0402144302111678,0.045454545
FAM195A,0.0402144302111678,0.045454545
FGF21,0.0402144302111678,0.045454545
HAVCR1,0.0402144302111678,0.045454545
HIGD2B,0.0402144302111678,0.045454545
IL17RE,0.0402144302111678,0.045454545
IQCD,0.0056178917795781,0.045454545
ITGB3BP,0.0402144302111678,0.045454545
KYNU,0.0402144302111678,0.045454545
L3HYPDH,0.0056178917795781,0.045454545
MAP3K7CL,0.0402144302111678,0.045454545
MOB1B,0.0402144302111678,0.045454545
NOTUM,0.0402144302111678,0.045454545
NTN5,0.0056178917795781,0.045454545
NXNL1,0.0056178917795781,0.045454545
PAGE1,0.0056178917795781,0.045454545
PARVG,0.0056178917795781,0.045454545
PCOLCE,0.0402144302111678,0.045454545
PDCD1LG2,0.0402144302111678,0.045454545
PILRB,0.0402144302111678,0.045454545
PPP1R3B,0.0402144302111678,0.045454545
PRPSAP2,0.0056178917795781,0.045454545
PSMD5,0.0402144302111678,0.045454545
QPRT,0.0402144302111678,0.045454545
RAB5B,0.0402144302111678,0.045454545
RP11-434D2.2,0.0402144302111678,0.045454545
SLC35B1,0.0402144302111678,0.045454545
SNAP23,0.0402144302111678,0.045454545
SNRNP40,0.0056178917795781,0.045454545
SUGCT,0.0402144302111678,0.045454545
TAS2R3,0.0402144302111678,0.045454545
TFF3,0.0056178917795781,0.045454545
TRAV8-4,0.0402144302111678,0.045454545
UGT1A5,0.0402144302111678,0.045454545
VCX3B,0.0402144302111678,0.045454545
WDR37,0.0402144302111678,0.045454545
WNT5B,0.0402144302111678,0.045454545
ZNF416,0.0402144302111678,0.045454545
ZNF554,0.0402144302111678,0.045454545
ZNF787,0.0056178917795781,0.045454545
XIRP2,0.0255409547578487,0.022727273
DCHS2,0.0493060138345349,0.0
DNAH8,0.0408631011985341,0.0
MED13,0.0493060138345349,0.0
